ID,rodada,data,hora,mandante,visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,publico_jogo,juiz_partida,expulsao_mandate,expulsao_visitante,dia_semana_jogo
2707,1,2009-05-09,18:30,Sport,Barueri,Empate,Ilha do Retiro,1,1,PE,SP,16019,Francisco de Assis Almeida Filho,0,0,Sábado
2708,1,2009-05-09,18:30,Palmeiras,Coritiba,Palmeiras,Palestra Itália,2,1,SP,PR,19105,Arilson Bispo da Anunciação,0,0,Sábado
2709,1,2009-05-09,18:30,Avai,Atletico-MG,Empate,  Ressacada,2,2,SC,MG,8344,Rodrigo Nunes de Sá,0,0,Sábado
2710,1,2009-05-10,16:00,Corinthians,Internacional,Internacional, Pacaembu,0,1,SP,RS,14458,Evandro Rogério Roman,0,0,Domingo
2711,1,2009-05-10,16:00,Fluminense,Sao Paulo,Fluminense, Maracanã,1,0,RJ,SP,14574,Sandro Meira Ricci,0,0,Domingo
2712,1,2009-05-10,16:00,Athletico-PR,Vitoria,Vitoria, Arena da Baixada,0,2,PR,BA,12906,Célio Amorim,0,0,Domingo
2713,1,2009-05-10,16:00,Cruzeiro,Flamengo,Cruzeiro, Mineirão,2,0,MG,RJ,24564,Paulo César Olivera,1,0,Domingo
2714,1,2009-05-10,18:30,Gremio,Santos,Empate, Olímpico,1,1,RS,SP,24309,Alicio Pena Júnior,0,0,Domingo
2715,1,2009-05-10,18:30,Santo Andre,Botafogo-RJ,Empate,Bruno José Daniel,1,1,SP,RJ,1939,Wilson Souza de Mendonça,1,0,Domingo
2716,1,2009-05-10,18:30,Goias,Nautico,Empate, Serra Dourada,3,3,GO,PE,2517,Jailson Macedo Freitas,0,0,Domingo
2717,2,2009-05-16,18:30,Coritiba,Santo Andre,Santo Andre, Couto Pereira,2,4,PR,SP,8423,Antonio Hora Filho,0,1,Sábado
2718,2,2009-05-16,18:30,Atletico-MG,Gremio,Atletico-MG, Mineirão,2,1,MG,RS,17263,Wilson Luiz Seneme,0,1,Sábado
2719,2,2009-05-16,18:30,Flamengo,Avai,Empate, Maracanã,0,0,RJ,SC,18351,Francisco Carlos Nascimento,0,0,Sábado
2720,2,2009-05-17,16:00,Santos,Goias,Empate, Vila Belmiro,3,3,SP,GO,9511,Ricardo Marques Ribeiro,0,0,Domingo
2721,2,2009-05-17,16:00,Sao Paulo,Athletico-PR,Empate, Morumbi,2,2,SP,PR,11554,Wilton Pereira Sampaio,0,0,Domingo
2722,2,2009-05-17,16:00,Barueri,Fluminense,Empate,Arena Barueri,0,0,SP,RJ,2555,André Luiz Freitas Castro,0,0,Domingo
2723,2,2009-05-17,16:00,Internacional,Palmeiras,Internacional, Beira Rio,2,0,RS,SP,28735,Djalma José Beltrami,0,1,Domingo
2724,2,2009-05-17,18:30,Botafogo-RJ,Corinthians,Empate,Engenhão,0,0,RJ,SP,14528,Carlos Eugenio Simon,0,0,Domingo
2725,2,2009-05-17,18:30,Vitoria,Sport,Vitoria, Barradão,1,0,BA,PE,4588,Charles Cavalcante Ferreira,1,0,Domingo
2726,2,2009-05-17,18:30,Nautico,Cruzeiro,Nautico,Aflitos,2,0,PE,MG,14127,Wagner Tardelli,0,0,Domingo
2727,3,2009-05-23,18:30,Corinthians,Barueri,Corinthians, Pacaembu,2,1,SP,SP,10646,Wilson Luiz Seneme,0,0,Sábado
2728,3,2009-05-23,18:30,Cruzeiro,Vitoria,Cruzeiro, Mineirão,2,0,MG,BA,7044,Heber Roberto Lopes,0,0,Sábado
2729,3,2009-05-23,18:30,Goias,Internacional,Internacional, Serra Dourada,0,1,GO,RS,6918,Wagner Tardelli,0,0,Sábado
2730,3,2009-05-24,16:00,Palmeiras,Sao Paulo,Empate,Palestra Itália,0,0,SP,SP,12000,Rodrigo Braghetto,1,1,Domingo
2731,3,2009-05-24,16:00,Fluminense,Santos,Santos, Maracanã,1,4,RJ,SP,11953,Leandro Vuaden,2,0,Domingo
2732,3,2009-05-24,16:00,Athletico-PR,Nautico,Nautico, Arena da Baixada,2,3,PR,PE,14172,Elmo Resende Cunha,0,0,Domingo
2733,3,2009-05-24,16:00,Gremio,Botafogo-RJ,Gremio, Olímpico,2,0,RS,RJ,25894,Sálvio Spínola Fagundes Filho,0,0,Domingo
2734,3,2009-05-24,18:30,Sport,Atletico-MG,Atletico-MG,Ilha do Retiro,2,3,PE,MG,15315,Péricles Pegado Cortez,0,0,Domingo
