juiz_partida,total_expulsos_jogo
Sandro Meira Ricci,15
Evandro Roman,10
Marcelo de Lima Henrique,9
Francisco Carlos Nascimento,9
Péricles Bassols Cortez,9
Wilson Luiz Seneme,9
Heber Roberto Lopes,7
Leandro Vuaden,7
Paulo César Oliveira,6
Paulo Henrique Bezerra,5
Jailson Macedo Freitas,5
Ricardo Marques Ribeiro,5
André Luiz de Castro,4
Alicio Pena Júnior,4
Antonio Hora Filho,4
Sálvio Spínola Fagundes Filho,4
Carlos Eugenio Simon,4
Djalma José Beltrami,4
Nielson Nogueira Dias,4
Luiz Flávio de Oliveira,4
Wallace Nascimento Valente,3
Leonardo Gaciba,3
Elmo Resende Cunha,3
Luís Antônio Silva Santos,3
Rodrigo Braghetto,2
José Henrique de Carvalho,2
Gutemberg de Paula Fonseca,2
Rodrigo Martins Cintra,2
Wagner Reway,2
Péricles Pegado Cortez,2
Paulo César Olivera,2
Rodrigo Nunes de Sá,2
Elmo Alves Resende,2
Wagner Tardelli,2
Wilson Souza de Mendonça,2
Célio Amorim,2
Arilson Bispo da Anunciação,2
André Luiz Castro,1
André Luiz de Freitas Castro,1
William Souza Nery,1
Ricardo Martins Ribeiro,1
Charles Cavalcante Ferreira,1
Devarly Lira do Rosário ,1
Marcelo Aparecido de Souza,1
Luís Antonio Silva Santos,1
Pablo dos Santos Alves,1
Guilherme Cereta de Lima,1
Francisco de Assis Almeida,1
Cléber Wellington Abade,1
Cláudio Mercante Júnior,1
Cláudio Mercante,1
Elmo Alves Resende Cunha,1
Edivaldo Elias da Silva,1
Felipe Gomes da Silva,1
Francisco de Assis Almeida Filho,1
Renato Cardoso da Conceição,1
Sálvio Spínola,1
Wilton Pereira Sampaio,1
André Luiz Freitas Castro,0
André Luiz de Freitas,0
Francisco de Almeida Filho,0
Evandro Rogério Roman,0
Flávio Guerra,0
Luis Antonio Silva Santos,0
Leandro Pedro Vuaden,0
Jaílson Macedo Freitas,0
João Alberto Gomes Duarte,0
Márcio Chagas da Silva,0
Sandro Ricci,0
Wallace Valence,0
Wilson Pereira Sampaio,0
