index,Time,PTS_Casa,PTS_Fora,PTS_Total,Posicao,Dependencia_Casa,Expulsos_Total,Evolucao
11,Gremio,47,8,55,9,85.45454545454545,12,-1
19,Vitoria,38,10,48,14,79.16666666666666,11,-2
18,Sport,24,7,31,20,77.41935483870968,16,5
6,Coritiba,34,11,45,17,75.55555555555556,6,7
3,Barueri,37,12,49,12,75.51020408163265,8,-7
13,Nautico,28,10,38,19,73.68421052631578,13,2
15,Santo Andre,29,12,41,18,70.73170731707317,9,5
0,Athletico-PR,33,15,48,13,68.75,6,0
9,Fluminense,31,15,46,16,67.3913043478261,8,16
4,Botafogo-RJ,31,16,47,15,65.95744680851064,9,5
17,Sao Paulo,42,23,65,3,64.61538461538461,14,-1
14,Palmeiras,40,22,62,5,64.51612903225806,10,-12
2,Avai,36,21,57,6,63.1578947368421,5,-3
5,Corinthians,32,20,52,10,61.53846153846154,6,-4
12,Internacional,40,25,65,2,61.53846153846154,10,-9
16,Santos,30,19,49,11,61.224489795918366,6,-3
10,Goias,33,22,55,8,60.0,13,-15
8,Flamengo,40,27,67,1,59.70149253731343,4,13
1,Atletico-MG,32,24,56,7,57.14285714285714,6,-8
7,Cruzeiro,30,32,62,4,48.38709677419355,15,18
